Epoch:[1/6](6900/44160) loss:0.828 lr:0.000549163810 epoch_Time:200.0min:
Epoch:[1/6](7000/44160) loss:0.827 lr:0.000549139411 epoch_Time:200.0min:
Epoch:[1/6](7100/44160) loss:0.798 lr:0.000549114662 epoch_Time:199.0min:
Epoch:[1/6](7200/44160) loss:0.809 lr:0.000549089562 epoch_Time:199.0min:
Epoch:[1/6](7300/44160) loss:0.835 lr:0.000549064112 epoch_Time:198.0min:
Epoch:[1/6](7400/44160) loss:0.807 lr:0.000549038313 epoch_Time:198.0min:
Epoch:[1/6](7500/44160) loss:0.882 lr:0.000549012163 epoch_Time:197.0min:
Epoch:[1/6](7600/44160) loss:0.860 lr:0.000548985663 epoch_Time:197.0min:
Epoch:[1/6](7700/44160) loss:0.821 lr:0.000548958813 epoch_Time:196.0min:
Epoch:[1/6](7800/44160) loss:0.830 lr:0.000548931613 epoch_Time:196.0min:
Epoch:[1/6](7900/44160) loss:0.840 lr:0.000548904063 epoch_Time:195.0min:
Epoch:[1/6](8000/44160) loss:0.842 lr:0.000548876163 epoch_Time:195.0min:
Epoch:[1/6](8100/44160) loss:0.838 lr:0.000548847913 epoch_Time:194.0min:
Epoch:[1/6](8200/44160) loss:0.828 lr:0.000548819313 epoch_Time:193.0min:
Epoch:[1/6](8300/44160) loss:0.825 lr:0.000548790364 epoch_Time:193.0min:
Epoch:[1/6](8400/44160) loss:0.805 lr:0.000548761065 epoch_Time:192.0min:
Epoch:[1/6](8500/44160) loss:0.829 lr:0.000548731416 epoch_Time:192.0min:
Epoch:[1/6](8600/44160) loss:0.827 lr:0.000548701417 epoch_Time:191.0min:
Epoch:[1/6](8700/44160) loss:0.836 lr:0.000548671069 epoch_Time:191.0min:
Epoch:[1/6](8800/44160) loss:0.817 lr:0.000548640371 epoch_Time:190.0min:
Epoch:[1/6](8900/44160) loss:0.832 lr:0.000548609324 epoch_Time:190.0min:
Epoch:[1/6](9000/44160) loss:0.828 lr:0.000548577927 epoch_Time:189.0min:
Epoch:[1/6](9100/44160) loss:0.882 lr:0.000548546180 epoch_Time:189.0min:
Epoch:[1/6](9200/44160) loss:0.847 lr:0.000548514085 epoch_Time:188.0min:
Epoch:[1/6](9300/44160) loss:0.825 lr:0.000548481639 epoch_Time:187.0min:
Epoch:[1/6](9400/44160) loss:0.826 lr:0.000548448845 epoch_Time:187.0min:
Epoch:[1/6](9500/44160) loss:0.826 lr:0.000548415701 epoch_Time:186.0min:
Epoch:[1/6](9600/44160) loss:0.830 lr:0.000548382208 epoch_Time:186.0min:
Epoch:[1/6](9700/44160) loss:0.836 lr:0.000548348366 epoch_Time:186.0min:
Epoch:[1/6](9800/44160) loss:0.823 lr:0.000548314175 epoch_Time:186.0min:
Epoch:[1/6](9900/44160) loss:0.829 lr:0.000548279634 epoch_Time:185.0min:
Epoch:[1/6](10000/44160) loss:0.822 lr:0.000548244745 epoch_Time:185.0min:
Epoch:[1/6](10100/44160) loss:0.811 lr:0.000548209506 epoch_Time:184.0min:
Epoch:[1/6](10200/44160) loss:0.816 lr:0.000548173919 epoch_Time:183.0min:
Epoch:[1/6](10300/44160) loss:0.828 lr:0.000548137983 epoch_Time:183.0min:
Epoch:[1/6](10400/44160) loss:0.799 lr:0.000548101697 epoch_Time:182.0min:
Epoch:[1/6](10500/44160) loss:0.815 lr:0.000548065064 epoch_Time:182.0min:
Epoch:[1/6](10600/44160) loss:0.833 lr:0.000548028081 epoch_Time:181.0min:
